country,iso_code,start_year,end_year,renewables_share_energy_start,renewables_share_energy_end,renewables_share_energy_change,population_start,population_end
Denmark,DNK,2000,2024,6.7593865394592285,41.722164154052734,34.962777614593506,5339659.0,5977417.0
Portugal,PRT,2000,2024,12.409293174743652,39.740760803222656,27.331467628479004,10283196.0,10425291.0
Lithuania,LTU,2000,2024,1.2093429565429688,23.413942337036133,22.204599380493164,3500410.0,2859112.0
Germany,DEU,2000,2024,2.7381491661071777,23.96800804138184,21.22985887527466,81797255.0,84552234.0
Ireland,IRL,2000,2024,1.920232892036438,22.180316925048828,20.26008403301239,3802589.0,5255016.0
United Kingdom,GBR,2000,2024,1.08696711063385,21.292688369750977,20.205721259117126,59057333.0,69138185.0
Finland,FIN,2000,2024,19.162656784057617,38.89441680908203,19.731760025024414,5176197.0,5617311.0
Spain,ESP,2000,2024,6.598010063171387,25.862646102905277,19.26463603973389,41019772.0,47910533.0
Greece,GRC,2000,2024,3.0918128490448,21.05491065979004,17.96309781074524,10782638.0,10047813.0
Estonia,EST,2000,2024,0.3347599506378174,17.94626235961914,17.611502408981323,1397001.0,1360548.0
Netherlands,NLD,2000,2024,0.8954774737358093,18.1192569732666,17.223779499530792,16058757.0,18228740.0
Sweden,SWE,2000,2024,36.65571975708008,51.31792831420898,14.6622085571289,8872099.0,10606993.0
Italy,ITA,2000,2024,6.852819919586182,20.930578231811523,14.077758312225342,57272200.0,59342870.0
Chile,CHL,2000,2024,18.856054306030277,32.25444793701172,13.398393630981442,15503638.0,19764774.0
Bulgaria,BGR,2000,2024,3.386312961578369,16.424589157104492,13.038276195526123,8000519.0,6757686.0
